problem,Level ,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,RDFRE,RDFKGL,RDL2,modified_problem,no_of_equations,no_of_variables,has_exponential_or_mod,has_logarithm,has_fraction,has_equality_or_inequality
There are constants    alpha  and    beta  such that    frac{x-  alpha}{x+  beta} =   frac{x^2-80x+1551}{x^2+57x-2970} . What is    alpha+  beta ?,Level 5,1,2,23,2,0,13,12.728,1.304,0.47,4.217,2.558,-2.711,0.34,-1.922,2.74,-5.21,0,2.157,98.42,-4.39,0,5.199,100,-2.001,2.28,2.263,98.81,1,1,1,1,1,1,0.214,0,0.214,0,0,0,0.89,0,0.89,0,0,0,0.331,0.654,16.299,0,43.478,0,0,0,0,0,43.478,0,0,0,0,0,0,0,1,1,1,7,2.2,0.913,0.913,0.826,0.024,0.024,260.87,130.435,0,0,0,0,0,0,347.826,43.478,173.913,0,0,0,0,0,0,0,1.96,2.527,0,0,585.667,225,279.333,325,2.36,7.458,0.846,2.454,84.844,4.282,11.138,There are constants    alpha  and    beta  such that    frac{x-  alpha}{x+  beta} =   frac{x^2-80x+1551}{x^2+57x-2970} . What is    alpha+  beta ?,0,0,FALSE,FALSE,FALSE,FALSE
"The length of the segment between the points  (2a, a-4)  and  (4, -1)  is  2  sqrt{10}  units. What is the product of all possible values for  a ?",Level 5,1,2,28,2,0,14.5,6.364,1.25,0.518,3.607,2.061,-2.643,0.41,-1.243,10.75,-5.339,0,-1.064,14.46,-1.366,8.69,10.147,100,-1.002,15.87,2.164,98.46,0,0,1,0,0,1,0.133,0,0.133,0,0,0,0.068,0,0.068,0,0,0,0.043,0.759,33.64,0,71.429,35.714,35.714,0,0,35.714,35.714,0,0,0,0,0,0,1,1,1,1,7.5,0.889,0.571,0.929,0.857,0.017,0.017,535.714,71.429,0,142.857,0,0,0,0,321.429,71.429,107.143,0,0,0,0,0,0,0,2.763,3.515,1.92,398.5,566,347.778,342.8,321.5,3.344,4.742,0.846,1.387,86.875,4.62,24.309,"The length of the segment between the points  (2a, a-4)  and  (4, -1)  is  2  sqrt{10}  units. What is the product of all possible values for  a ?",0,0,FALSE,FALSE,FALSE,FALSE
"Chewbacca has 20 pieces of cherry gum and 30 pieces of grape gum.  Some of the pieces are in complete packs, while others are loose.  Each complete pack has exactly  x  pieces of gum. If Chewbacca loses one pack of cherry gum, then the ratio of the number of pieces of cherry gum he has to the number of pieces of grape gum will be exactly the same as if he instead finds 5 packs of grape gum.  Find  x .",Level 5,1,5,80,5,0,16,16.233,1.325,0.591,3.888,1.936,-0.055,48.01,-0.128,45.22,-0.507,30.85,1.936,97.32,0.192,57.53,2.241,98.75,-0.719,23.89,0.181,57.14,0.75,0.75,0.75,0.6,0.6,0.6,0.258,0.189,0.227,0.228,0,0,0.329,0.246,0.323,0.292,0,0,0.323,0.488,27.952,0,87.5,0,62.5,12.5,37.5,0,25,0,0,12.5,12.5,0,0,0,0.236,0.733,0.875,7.4,0.679,0.739,0.889,0.854,0.081,0.105,512.5,137.5,37.5,162.5,0,0,0,0,325,62.5,87.5,50,25,0,0,0,25,0,2.347,3.094,2.165,286.4,559.704,390.667,405.667,394.667,4.826,6.126,1.21,1.993,78.5,6.285,25.517,"Chewbacca has 20 pieces of cherry gum and 30 pieces of grape gum.  Some of the pieces are in complete packs, while others are loose.  Each complete pack has exactly  x  pieces of gum. If Chewbacca loses one pack of cherry gum, then the ratio of the number of pieces of cherry gum he has to the number of pieces of grape gum will be exactly the same as if he instead finds 5 packs of grape gum.  Find  x .",0,0,FALSE,FALSE,FALSE,FALSE
"For some constants  a  and  b,  let   [f(x) =   left  {
  begin{array}{cl}
ax + b &   text{if } x < 2,     
8 - 3x &   text{if } x   ge 2.
  end{array}
  right.  ]The function  f  has the property that  f(f(x)) = x  for all  x.  What is  a + b? ",Level 5,6,8,51,1.333,0.816,5.875,4.39,1.137,0.401,2.588,1.972,-0.719,23.58,2.115,98.26,-1.996,2.33,-1.573,5.82,1.53,93.7,-1.907,2.87,0.692,75.49,2.051,97.98,0.143,0.143,0.143,0.143,0.143,0.214,0.041,0.108,0.05,0.113,0,0,0.114,0.175,0.074,0.118,0.104,0.21,0.269,0.638,35.25,0,98.039,39.216,78.431,0,0,39.216,19.608,0,0,58.824,58.824,19.608,0,1,0.066,0.333,1,1.25,0.765,0.85,1,1,0.06,0.098,431.373,137.255,39.216,58.824,0,0,0,0,313.725,117.648,39.216,19.608,0,0,0,0,0,0,2.219,2.537,1.375,448.2,527.846,376.833,372.846,381.333,3,6.68,1.17,1.964,100,0.313,10.05,"For some constants  a  and  b,  let   [f(x) =   left  {
  begin{array}{cl}
ax + b &   text{if } x < 2,     
8 - 3x &   text{if } x   ge 2.
  end{array}
  right.  ]The function  f  has the property that  f(f(x)) = x  for all  x.  What is  a + b? ",0,0,FALSE,FALSE,FALSE,FALSE
Find the greatest  a  such that    frac{7  sqrt{(2a)^2+(1)^2}-4a^2-1}{  sqrt{1+4a^2}+3}=2 .,Level 5,1,1,20,1,0,22,0,1.05,0.224,2.9,1.714,-2.408,0.82,-2.079,1.92,1.803,96.41,0.507,69.15,-5.124,0,6.287,100,2.633,99.57,-27.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636,22,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,-2,0,2.5,0,0,0,0,0,300,100,0,50,0,0,0,0,200,100,200,0,0,0,0,0,0,0,2.98,3.75,0,272,584,331,380,435.5,2,0,0.875,0.083,97.705,4.6,21.139,Find the greatest  a  such that    frac{7  sqrt{(2a)^2+(1)^2}-4a^2-1}{  sqrt{1+4a^2}+3}=2 .,0,0,FALSE,FALSE,FALSE,FALSE
"Given that the polynomial  x^2-5x+t  has only positive integer roots, find the average of all distinct possible values of  t .",Level 5,1,1,21,1,0,23,0,1.762,1.091,4.762,2.548,-3.83,0,-1.675,4.75,1.582,94.29,0.065,52.39,-4.494,0,7.108,100,0.408,65.54,-27.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,49.373,0,0,0,0,47.619,0,0,0,0,0,47.619,47.619,0,0,0,0.048,1,-2,13,2,0,0,0,0,0,333.333,95.238,0,142.857,0,0,0,0,333.333,142.857,190.476,47.619,0,0,0,0,0,0,2.267,2.937,0,352.5,559.2,315.857,338.111,391.667,6.13,6.165,1.785,2.109,36.455,13.392,5.299,"Given that the polynomial  x^2-5x+t  has only positive integer roots, find the average of all distinct possible values of  t .",0,0,FALSE,FALSE,FALSE,FALSE
"Two parabolas are the graphs of the equations  y=3x^2+4x-5  and  y=x^2+11 . Give all points where they intersect. List the points in order of increasing  x -coordinate, separated by semicolons.",Level 5,1,3,31,3,0,12,6,1.581,1.057,4.968,2.846,0.025,50.8,1.209,88.49,-0.016,49.6,-0.382,35.2,0.315,62.17,-1.345,9.01,-0.105,46.02,1.447,92.51,0.5,0.5,0.5,0.333,0.333,0.333,0.091,0.129,0.061,0.105,0.5,0.333,0.224,0.133,0.203,0.101,0,0,0.132,0.806,51.84,0,96.774,64.516,0,0,0,0,32.258,0,0,64.516,64.516,64.516,0,0.667,0.01,0.381,1,0.667,0.7,0.728,0.944,0.944,0.178,0.152,516.129,161.29,0,161.29,0,0,64.516,0,290.322,161.29,0,0,32.258,0,0,0,0,32.258,2.049,3.032,0.3,381.5,566.857,384.429,408.857,387.333,4.886,6.509,1.758,2.025,62.594,7.096,16.135,"Two parabolas are the graphs of the equations  y=3x^2+4x-5  and  y=x^2+11 . Give all points where they intersect. List the points in order of increasing  x -coordinate, separated by semicolons.",0,0,FALSE,FALSE,FALSE,FALSE
"An infinite geometric series has a first term of  12  and a second term of  4.  A second infinite geometric series has the same first term of  12,  a second term of  4+n,  and a sum of four times that of the first series. Find the value of  n. ",Level 5,1,2,49,2,0,25,28.284,1.347,0.751,3.714,2.111,-1.831,3.36,-0.151,44.04,-0.762,22.36,-2.104,1.79,0,50,3.295,99.95,-4.49,0,1.353,91.15,0,0,1,0,0,1,0,0,0,0,0,0,0.087,0,0.087,0,0,0,0.046,0.44,25,0,102.041,0,61.224,0,61.224,0,102.041,0,0,20.408,20.408,0,0,0,0.169,0.5,1,2,1.538,0.878,0.918,0.918,0.022,0.022,448.98,81.633,0,142.857,0,0,20.408,0,244.897,81.632,224.49,0,0,0,0,0,0,0,2.014,3.029,1.57,369.923,568.318,327.136,373.909,420.833,3.981,6.386,0.99,1.55,68.011,9.86,1.029,"An infinite geometric series has a first term of  12  and a second term of  4.  A second infinite geometric series has the same first term of  12,  a second term of  4+n,  and a sum of four times that of the first series. Find the value of  n. ",0,0,FALSE,FALSE,FALSE,FALSE
The quadratic  8x^2+12x-14  has two real roots. What is the sum of the squares of these roots? Express your answer as a common fraction in lowest terms.,Level 5,1,3,28,3,0,10,0,1.25,0.518,4.286,2.175,-1.122,13.14,-0.922,17.88,0.451,67.36,-0.758,22.66,-1.741,4.09,3.539,100,2.008,97.72,1.189,88.1,0.5,0.5,0.5,0.333,0.333,0.333,0.091,0.129,0.061,0.105,0,0,0.249,0.142,0.178,0.158,0,0,0.141,0.867,63,0,35.714,0,0,0,35.714,0,0,0,0,35.714,35.714,35.714,0,0,0.089,1,1,2.333,1.5,0.583,0.944,0.889,0.026,0.075,392.857,107.143,0,142.857,0,0,0,0,321.428,107.143,142.857,0,35.714,0,0,35.714,0,0,2.292,3.121,1.425,336.6,576,387.909,410.667,429.7,4.29,5.091,1.698,1.642,91.612,2.8,12.216,The quadratic  8x^2+12x-14  has two real roots. What is the sum of the squares of these roots? Express your answer as a common fraction in lowest terms.,0,0,FALSE,FALSE,FALSE,FALSE
What is the value of    sqrt{15 - 6  sqrt{6}} +   sqrt{15 + 6  sqrt{6}} ?,Level 5,1,1,17,1,0,15,0,1.059,0.243,2.471,1.419,-1.51,6.55,-1.437,7.64,-2.468,0.69,1.138,87.08,-5.108,0,6.045,100,3.845,100,-27.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,0,0,0,0,588.235,58.824,0,58.824,0,0,0,0,352.942,58.824,0,0,0,0,0,0,0,0,3.405,3.898,0,433,582.5,242.5,281.5,325,1.895,1.167,0.846,0.413,99.989,3.536,30.576,What is the value of    sqrt{15 - 6  sqrt{6}} +   sqrt{15 + 6  sqrt{6}} ?,0,0,FALSE,FALSE,FALSE,FALSE
