Model,F1_train,F1_test
Experiment1+SMOTE,0.7732731603661738,0.5101948768264467
Experiment1,0.7662652497910926,0.521332536605156
Experiment1+GPT+SMOTE,0.7877878315047222,0.5340523688779595
Experiment1+GPT,0.7847879072038441,0.5750711003460458
Experiment2+SMOTE,0.7831973764105231,0.5315531487327311
Experiment2,0.6696375462293873,0.49830533572665314
Experiment2+GPT+SMOTE,0.8213008167635508,0.5199404080501658
Experiment2+GPT,0.7998266299191785,0.5601497377602441
Experiment3+SMOTE,0.853215585112615,0.5446293361845217
Experiment3,0.8256285787394173,0.5722434793347371
Experiment3+GPT+SMOTE,0.8717978478676628,0.5362312124042082
Experiment3+GPT,0.854060865091054,0.575385650780157
Experiment4+SMOTE,0.8577223688234832,0.5204030114451997
Experiment4,0.8357095250576897,0.5155405275908956
Experiment4+GPT+SMOTE,0.862673074856872,0.5688442188563039
Experiment4+GPT,0.860652457644326,0.5856174109560502
Experiment5+SMOTE,0.8502571447950537,0.509079730960733
Experiment5,0.8257747122238931,0.5403299341682405
Experiment5+GPT+SMOTE,0.8842286463376665,0.563564382474929
Experiment5+GPT,0.8574831694869971,0.5615711766481128
Exp6(num)+SMOTE,0.9141779688355363,0.5053167180026544
Exp6(num),0.9137983307135401,0.5039476558294247
Exp6(num)+GPT+SMOTE,0.9468476511080098,0.5402082107821649
Exp6(num)+GPT,0.9368267264691453,0.5661958479909798
Exp6(cat)+SMOTE,0.9307669365836546,0.5333997435738084
Exp6(cat),0.7496343263611468,0.45868836801792845
Exp6(cat)+GPT+SMOTE,0.9559855097031537,0.5566252828540997
Exp6(cat)+GPT,0.9373820743810851,0.5681661025301397
Exp(cat+num)+SMOTE,0.9190010202162012,0.5183915109303099
Exp6(cat+num),0.9150243690169556,0.5103168817282691
Exp6(cat+num)+GPT+SMOTE,0.9496979114857204,0.5526081094156096
Exp6(cat+num)+GPT,0.9221115074979314,0.5651989042456566
Heuristics+SMOTE,0.9359796520750931,0.33546589005719457
Heuristics,0.9150243690169556,0.5103168817282691
Heuristics+GPT+SMOTE,0.9480615534586535,0.5710244846287744
Heuristics+GPT,0.9221115074979314,0.5651989042456566
